Name,Chg %_x,1W CHG %,1M CHG %,3-Month Perf,6-Month Perf,YTD Perf,Yearly Perf,Volatility,Oscillators Rating,ADX,AO,ATR,CCI20,MACD Level,MACD Signal,MOM,RSI14,Stoch %K,Stoch %D,Moving Averages Rating,Last_x,SMA20,SMA50,SMA200,BB Up,BB Low,Mkt Cap,FD Mkt Cap,Last_y,Avail Coins,Total Coins,Traded Vol,Chg %_y
Bitcoin,−4.17%,−4.17%,−11.29%,−5.52%,−29.62%,−12.63%,−32.51%,5.36%,Sell,18.05 N,−416.07670588 S,1769.79637563,−150.07 N,−42.10780175 S,695.09267356,−5929.44 S,37.56 N,5.25 N,6.54,Strong Sell,40398.88,44737.3945 S,41924.0666 S,48224.69725 S,48684.00154816 N,40790.78745184 B,767.55B,847.947B,40378.44,19.009M,21M,29.824B,−4.17%
Ethereum,−5.67%,−5.67%,−7.99%,−6.80%,−16.27%,−17.82%,41.32%,7.91%,Sell,21.32 S,149.74902941 N,154.86651628,−110.27 N,65.40646114 S,116.34777484,−437.25 S,43.66 N,16.32 N,21.44,Strong Sell,3020.42,3276.636 S,2941.579 B,3491.78841349 S,3577.36121859 N,2975.91078141 N,363.531B,363.531B,3020.96,120.336M,120.336M,20.389B,−5.65%
Tether,−0.01%,−0.01%,−0.02%,−0.04%,−0.02%,−0.00%,0.04%,1.24%,Sell,79.54 N,−0.00156065 S,0.00460382,−129.05 N,−0.00008958 S,−0.0000688,−0.00039 S,43.08 N,91.66 S,92.03,Strong Sell,0.99985000,1.000174 S,1.000239 S,1.0003394 S,1.00064692 N,0.99970108 N,82.523B,85.603B,0.99985000,82.535B,85.616B,67.009B,−0.01%
Binance Coin,−3.88%,−3.88%,−6.36%,−13.35%,−14.67%,−21.44%,−32.67%,5.48%,Sell,16.70 N,12.64588235 N,18.72752887,−137.16 N,4.80959923 S,9.50391122,−46.30 S,43.44 N,15.08 N,24.90,Strong Sell,402.0,428.485 S,400.672 B,469.55335123 S,456.27185121 N,400.69814879 N,66.311B,66.311B,401.6,165.117M,165.117M,2.109B,−3.90%
USD Coin,0.01%,0.01%,0.01%,−0.01%,0.00%,0.00%,0.00%,0.02%,Neutral,38.49 N,0.00003382 N,0.00048015,19.53 N,0.0000003 S,0.00000294,0.00 N,50.55 N,66.67 N,67.46,Strong Buy,1.0000,0.999995 B,0.999988 B,0.9999995 B,1.00015593 N,0.99983407 N,50.919B,50.919B,1.0000,50.919B,50.919B,4.5B,0.01%
XRP,−6.43%,−6.43%,−13.34%,−8.30%,−37.44%,−14.85%,−51.89%,7.79%,Sell,19.15 N,−0.04574065 N,0.03958889,−191.76 N,−0.01418095 S,0.00060093,−0.12144 S,34.18 N,5.49 N,7.79,Strong Sell,0.70621,0.8128305 S,0.7821672 S,0.88646245 S,0.89824184 N,0.72741916 B,33.978B,70.588B,0.70588,48.135B,100B,2.059B,−6.48%
Solana,−7.70%,−7.70%,−16.62%,−26.95%,−30.79%,−39.74%,258.47%,10.55%,Sell,28.39 S,9.107 N,9.87815997,−62.80 N,3.96289373 S,6.72128172,−32.15 S,44.50 N,16.32 N,25.12,Strong Sell,102.44,114.8525 S,98.645 B,148.98452026 S,139.6837109 N,90.0212891 N,33.622B,52.451B,102.52,327.952M,511.617M,2.125B,−7.62%
Cardano,−7.31%,−7.31%,−16.73%,−19.95%,−56.58%,−27.29%,−27.63%,10.72%,Sell,27.04 S,0.03047647 N,0.07084815,−181.55 N,0.01180455 S,0.04061679,−0.217 S,40.00 N,6.36 N,8.07,Strong Sell,0.952,1.12245 S,0.96574 S,1.44224656 S,1.26020409 N,0.98469591 B,32.086B,42.795B,0.951,33.739B,45B,1.275B,−7.31%
Terra,−6.19%,−6.19%,−16.37%,17.26%,135.58%,0.83%,489.13%,9.28%,Sell,27.39 N,−0.94610965 S,8.03695467,−117.37 N,1.58147445 S,4.71739071,−19.8089537 S,40.38 N,10.83 N,18.99,Sell,86.1448359,101.41800411 S,90.83419595 S,65.58270031 B,119.85362092 N,82.9823873 N,30.585B,64.503B,86.1900736,354.85M,748.385M,2.897B,−6.18%
HEX,−8.96%,−8.96%,−22.00%,−46.76%,−68.99%,−57.44%,533.32%,11.54%,Sell,18.25 N,−0.00139138 S,0.01216241,−116.31 N,−0.00145681 S,0.0013579,−0.03312464 S,39.73 N,16.99 N,20.81,Strong Sell,0.12125056000,0.14390134 S,0.13417479 S,0.21829496 S,0.16853841 N,0.11926426 N,21.029B,76.827B,0.12126569000,173.411B,633.543B,16.719M,−8.96%
Avalanche,−7.82%,−7.82%,−23.43%,−16.70%,35.68%,−31.75%,120.90%,9.48%,Sell,20.63 N,−1.28503996 S,6.90494035,−157.93 N,−0.3492 S,1.96482844,−22.3984197 S,37.11 N,5.25 N,10.53,Strong Sell,74.5711000,89.05893107 S,82.029792 S,84.45458443 S,101.59604374 N,76.52181839 B,20.027B,29.551B,74.6451590,268.293M,395.891M,1.078B,−7.79%
Dogecoin,−5.27%,−5.27%,1.60%,−8.91%,−39.86%,−17.83%,96.74%,9.52%,Sell,43.20 N,0.01318294 N,0.01219193,5.55 N,0.00450695 S,0.00515792,−0.0007 S,50.59 N,25.12 N,27.50,Sell,0.1402,0.142965 S,0.130522 B,0.18111673 S,0.15990044 N,0.12602956 N,18.587B,18.587B,0.1401,132.671B,132.671B,1.606B,−5.27%
Polkadot,−7.75%,−7.75%,−16.92%,−30.63%,−57.46%,−33.50%,−56.15%,9.85%,Sell,20.59 N,−0.49041176 S,1.34909325,−179.55 N,−0.08590221 S,0.45999717,−4.33 S,37.30 N,5.94 N,8.94,Strong Sell,17.73,21.1735 S,19.1484 S,28.51342755 S,23.9807141 N,18.3662859 B,17.51B,19.562B,17.73,987.579M,1.103B,945.193M,−7.75%
TerraUSD,0.00%,0.00%,0.05%,0.03%,0.07%,0.07%,0.03%,0.04%,Neutral,21.68 N,0.00006544 B,0.00051952,195.72 N,0.00000566 B,−0.0000603,0.0001 S,55.46 N,74.79 N,65.03,Strong Buy,1.00060,1.0002525 B,1.000497 B,1.00047695 B,1.0006666 N,0.9998384 N,16.748B,16.748B,1.00070,16.737B,16.737B,753.413M,0.00%
